	10000.00	20000.00	30000.00	40000.00	50000.00	60000.00	70000.00	80000.00	90000.00	100000.00	110000.00	120000.00	130000.00	140000.00	150000.00	160000.00	170000.00	180000.00	190000.00	200000.00
-180.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-179.00	0.03	0.06	0.10	0.11	0.12	0.13	0.15	0.15	0.18	0.21	0.22	0.22	0.20	0.18	0.17	0.15	0.14	0.13	0.13	0.12
-178.00	0.06	0.12	0.19	0.21	0.24	0.25	0.29	0.30	0.37	0.41	0.44	0.44	0.39	0.36	0.33	0.30	0.28	0.27	0.25	0.25
-177.00	0.09	0.18	0.28	0.32	0.36	0.38	0.44	0.45	0.55	0.61	0.65	0.64	0.58	0.53	0.49	0.45	0.42	0.39	0.37	0.36
-176.00	0.11	0.24	0.37	0.42	0.47	0.49	0.56	0.58	0.70	0.78	0.82	0.80	0.73	0.66	0.61	0.56	0.52	0.49	0.47	0.45
-175.00	0.14	0.29	0.44	0.49	0.55	0.57	0.64	0.65	0.77	0.84	0.87	0.86	0.78	0.72	0.67	0.61	0.58	0.54	0.52	0.50
-174.00	0.17	0.33	0.48	0.53	0.58	0.60	0.66	0.66	0.75	0.80	0.81	0.80	0.74	0.69	0.65	0.61	0.58	0.55	0.53	0.51
-173.00	0.20	0.36	0.50	0.53	0.57	0.58	0.62	0.62	0.68	0.70	0.71	0.69	0.66	0.62	0.60	0.57	0.54	0.52	0.51	0.50
-172.00	0.23	0.38	0.49	0.51	0.53	0.54	0.57	0.57	0.60	0.61	0.61	0.60	0.58	0.56	0.54	0.52	0.51	0.49	0.48	0.47
-171.00	0.26	0.40	0.47	0.49	0.50	0.51	0.52	0.52	0.54	0.54	0.54	0.54	0.52	0.51	0.50	0.49	0.48	0.47	0.46	0.46
-170.00	0.29	0.41	0.46	0.47	0.48	0.48	0.49	0.49	0.50	0.50	0.50	0.50	0.49	0.48	0.48	0.47	0.46	0.46	0.45	0.45
-169.00	0.32	0.43	0.46	0.47	0.47	0.47	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.47	0.47	0.46	0.46	0.46	0.45	0.45
-168.00	0.35	0.44	0.47	0.47	0.47	0.47	0.48	0.48	0.48	0.48	0.48	0.48	0.47	0.47	0.47	0.47	0.46	0.46	0.46	0.46
-167.00	0.37	0.46	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.47	0.47	0.47	0.47
-166.00	0.40	0.48	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.50	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49
-165.00	0.43	0.50	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.50	0.50	0.50	0.50
-164.00	0.49	0.52	0.52	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.53	0.52	0.52	0.52	0.52	0.52	0.52
-163.00	0.51	0.54	0.54	0.54	0.54	0.54	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.54	0.54	0.54	0.54	0.54	0.54	0.54
-162.00	0.54	0.56	0.56	0.56	0.56	0.56	0.57	0.57	0.57	0.57	0.57	0.57	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56
-161.00	0.56	0.58	0.58	0.58	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.58	0.58	0.58	0.58	0.58	0.58
-160.00	0.59	0.60	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.60	0.60	0.60
-159.00	0.61	0.62	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63
-158.00	0.63	0.64	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65
-157.00	0.65	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66
-156.00	0.67	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68
